N = 6
q = 11
Calculated probability:
0.812842459277
Probability based on random polynomials
0.81158
####################################################
##################################################
N = 2
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
43		0.97674		1849		0.99945		79507		0.99999
47		0.97872		2209		0.99954		103823		0.99999
53		0.98113		2809		0.99964		148877		0.99999
59		0.98305		3481		0.99971		205379		0.99999
61		0.98360		3721		0.99973		226981		0.99999
67		0.98507		4489		0.99977		300763		0.99999
71		0.98591		5041		0.99980		357911		0.99999
##################################################
N = 2
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.5		4		0.75		8		0.9375
3		0.44444		9		0.79012		27		0.97546
5		0.64		25		0.9216		125		0.99680
7		0.73469		49		0.95960		343		0.99916
11		0.82644		121		0.98353		1331		0.99986
13		0.85207		169		0.98820		2197		0.99992
17		0.88581		289		0.99309		4913		0.99997
19		0.89750		361		0.99446		6859		0.99998
23		0.91493		529		0.99622		12167		0.99999
29		0.93222		841		0.99762		24389		0.99999
31		0.93652		961		0.99791		29791		0.99999
37		0.94667		1369		0.99853		50653		0.99999
41		0.95181		1681		0.99881		68921		0.99999
43		0.95402		1849		0.99891		79507		0.99999
47		0.95789		2209		0.99909		103823		0.99999
53		0.96262		2809		0.99928		148877		0.99999
59		0.96638		3481		0.99942		205379		0.99999
61		0.96748		3721		0.99946		226981		0.99999
67		0.97037		4489		0.99955		300763		0.99999
71		0.97202		5041		0.99960		357911		0.99999
##################################################
N = 3
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.375		4		0.42187		8		0.82397
3		0.66666		9		0.88888		27		0.98765
5		0.768		25		0.88473		125		0.99520
7		0.62973		49		0.94001		343		0.99875
11		0.90157		121		0.97541		1331		0.99979
13		0.78652		169		0.98235		2197		0.99989
17		0.93791		289		0.98965		4913		0.99996
19		0.85026		361		0.99171		6859		0.99997
23		0.95471		529		0.99433		12167		0.99998
29		0.96436		841		0.99643		24389		0.99999
31		0.90631		961		0.99688		29791		0.99999
37		0.92109		1369		0.99781		50653		0.99999
41		0.97502		1681		0.99821		68921		0.99999
43		0.93184		1849		0.99837		79507		0.99999
47		0.97828		2209		0.99864		103823		0.99999
53		0.98078		2809		0.99893		148877		0.99999
59		0.98276		3481		0.99913		205379		0.99999
61		0.95162		3721		0.99919		226981		0.99999
67		0.95588		4489		0.99933		300763		0.99999
71		0.98571		5041		0.99940		357911		0.99999
##################################################
N = 5
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.46875		4		0.65917		8		0.72419
3		0.65843		9		0.86707		27		0.93977
5		0.8		25		0.96		125		0.9984
7		0.85678		49		0.97877		343		0.99791
11		0.62092		121		0.95935		1331		0.99965
13		0.92304		169		0.99401		2197		0.99982
